namespace,pod,container,timestamp,cpu-average
free5gc,free5gc-nwdaf-anlf-7cb5c4b977-txr8b,nwdaf-anlf,1733679000000,0.0006745466333503688
free5gc,free5gc-nwdaf-anlf-7cb5c4b977-txr8b,nwdaf-anlf,1733679060000,8.093575600259528e-05
free5gc,free5gc-nwdaf-anlf-7cb5c4b977-txr8b,nwdaf-anlf,1733679120000,0.0005949388712722453
free5gc,free5gc-nwdaf-anlf-7cb5c4b977-txr8b,nwdaf-anlf,1733679180000,0.00010435168873789714
free5gc,free5gc-nwdaf-anlf-7cb5c4b977-txr8b,nwdaf-anlf,1733679240000,0.000735209745491753
free5gc,free5gc-nwdaf-anlf-7cb5c4b977-txr8b,nwdaf-anlf,1733679300000,6.684455940000151e-05
free5gc,free5gc-nwdaf-anlf-7cb5c4b977-txr8b,nwdaf-anlf,1733679360000,0
free5gc,free5gc-nwdaf-anlf-7cb5c4b977-txr8b,nwdaf-anlf,1733679600000,0.009681085680884712
free5gc,free5gc-nwdaf-anlf-7cb5c4b977-txr8b,nwdaf-anlf,1733679660000,0
free5gc,free5gc-nwdaf-anlf-7cb5c4b977-txr8b,nwdaf-anlf,1733679720000,0
free5gc,free5gc-nwdaf-anlf-7cb5c4b977-txr8b,nwdaf-anlf,1733679780000,0
