namespace,pod,container,timestamp,cpu-average,mem-average
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731790740000,1.0011663673668416,0.7743187500000001
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731790800000,1.0013096815138285,0.7915208333333333
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731790860000,0.9987331746337196,0.73458203125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731790920000,0.9982442063099914,0.6041328125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731790980000,0.0585454132943893,0.237578125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731791040000,0.0001584477061857,0.182921875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731791100000,0.0006440461584917,0.1767890625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731791160000,0.0,0.1678645833333333
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731791220000,0.0005423962742137,0.1664583333333333
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731791280000,0.0001673740694031,0.16534375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731791340000,0.0006106271327335,0.16529296875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731791400000,0.0,0.165140625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731791460000,0.0005861632699228,0.158234375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731791520000,0.0,0.1535625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731791580000,0.0005618183859766,0.15359765625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731791640000,0.0,0.1518177083333333
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731791700000,0.000457961649365,0.14494921875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731791760000,0.0001414032165211,0.144578125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731791820000,0.000653620009321,0.1443854166666666
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731791880000,0.0,0.14446875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731791940000,0.0005554884338098,0.1445416666666666
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731792000000,0.0,0.14315625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731792060000,0.000450663272183,0.1243125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731792120000,0.0001983941704395,0.1230234375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731792180000,0.0,0.123015625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731792240000,0.0003384291540207,0.12305859375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731792300000,0.0,0.123140625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731792360000,0.0002466353751206,0.1231484375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731792420000,0.0,0.123171875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731792480000,8.718610960387767e-05,0.122328125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731792540000,0.0,0.11975
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731792600000,7.962626958096195e-06,0.119578125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731792660000,0.0003800415466664,0.1192687499999999
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731792720000,1.4214548852944055e-05,0.1188125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731792780000,0.0,0.118796875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731792840000,8.541775867099947e-06,0.118578125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731792900000,0.0,0.118578125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731792960000,0.0,0.118578125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731793020000,0.0,0.118578125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731793080000,0.0,0.118703125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731793140000,0.0001426643527161,0.1187265625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731793200000,0.0005358618656331,0.118828125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731793260000,0.0001356739825611,0.118875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731793320000,0.0004685194080663,0.118875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731793380000,0.000122804326908,0.1188854166666666
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731793440000,0.0005587404041528,0.1189322916666666
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731793500000,0.0001999606080566,0.118953125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731793560000,0.0003883065171976,0.118953125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731793620000,9.898207445896702e-05,0.118953125
